,match_id,outcome,home_ability_score,home_attack_score,home_defend_score,home_attacking_rank,home_defending_rank,away_ability_score,away_attack_score,away_defend_score,away_attacking_rank,away_defending_rank
137,8405287,1,533.55,565.1,502.0,3804.0,4137.0,355.90000000000003,351.09999999999997,360.7,5966.0,5992.0
138,8405296,1,408.40000000000003,383.9,432.9,5311.0,5317.0,347.2,326.5,367.9,6656.0,6614.0
139,8405305,1,526.25,528.5,524.0,3563.0,3680.0,573.7,554.6,592.8,4586.0,4054.0
140,8405314,1,518.95,498.1,539.8,4326.0,3998.0,383.1,384.1,382.1,5375.0,5558.0
141,8405323,0,405.6,422.1,389.1,4734.0,5027.0,538.5500000000001,552.2,524.9,4177.0,4289.0
142,8405332,0,336.5,356.1,316.9,6768.0,6927.0,340.9,336.5,345.3,5129.0,5321.0
143,8405341,1,621.9,618.2,625.6,3681.0,3754.0,530.85,492.1,569.6,3769.0,3655.0
144,8405350,1,612.55,631.4,593.7,4214.0,4440.0,368.3,349.8,386.8,5600.0,5653.0
145,8405359,0,417.3,404.3,430.3,5115.0,5283.0,554.5,544.5,564.5,4035.0,4063.0
146,8405368,1,386.95,404.5,369.4,4968.0,5420.0,522.45,536.3,508.6,4225.0,4364.0
147,8405377,1,534.55,508.9,560.2,3119.0,3278.0,341.35,326.8,355.9,5475.0,5575.0
148,8405386,1,425.6,428.3,422.9,5135.0,5089.0,319.3,333.2,305.4,7016.0,7112.0
149,8405395,0,594.55,606.5,582.6,4476.0,4525.0,519.7,499.2,540.2,4248.0,3972.0
150,8405404,0,352.15000000000003,345.8,358.5,4999.0,5136.0,662.65,634.6,690.7,2950.0,2402.0
151,8405413,0,498.15,513.1,483.2,4361.0,4493.0,563.45,564.0,562.9,3996.0,3904.0
152,8405422,1,362.25,344.3,380.2,5898.0,6022.0,342.35,354.8,329.9,5700.0,6034.0
153,8405431,1,468.25,466.6,469.9,4182.0,4170.0,151.45,164.6,138.3,7575.0,7748.0
154,8405440,1,537.3,506.3,568.3,4103.0,4055.0,551.45,565.7,537.2,4036.0,4202.0
155,8405449,1,516.55,494.8,538.3,4424.0,4067.0,367.75,358.7,376.8,4864.0,5000.0
156,8405458,1,633.6,605.7,661.5,3349.0,2808.0,361.55,348.1,375.0,5810.0,5964.0
157,8405467,0,321.25,334.3,308.2,7245.0,7282.0,376.65000000000003,342.7,410.6,5558.0,5671.0
158,8405476,0,590.35,589.1,591.6,4718.0,4513.0,465.85,467.3,464.4,4775.0,5024.0
159,8405485,1,417.05,406.2,427.9,5276.0,5384.0,332.1,320.2,344.0,5046.0,5219.0
160,8405494,1,609.75,612.8,606.7,3379.0,3445.0,444.25,448.5,440.0,4530.0,4649.0
161,8405503,1,504.45,480.7,528.2,4552.0,4198.0,363.3,375.7,350.9,5027.0,5286.0
162,8405512,1,362.25,346.8,377.7,5852.0,6062.0,356.15,329.5,382.8,6664.5,6119.0
163,8405521,1,388.15,376.90000000000003,399.4,5710.0,5870.0,512.3,523.9,500.7,4965.0,4828.0
164,8405530,1,358.1,350.9,365.3,5197.0,5366.0,356.9,341.2,372.6,6007.0,6169.0
165,8405539,1,379.75,395.6,363.9,5239.0,5567.0,320.6,332.2,309.0,7741.0,7687.0
166,8405548,1,431.85,411.3,452.4,5942.0,5797.0,475.75,456.7,494.8,4608.0,4442.0
167,8405557,1,578.7,592.9,564.5,3342.0,3457.0,554.7,560.8,548.6,3297.0,3421.0
168,8405566,0,622.95,592.4,653.5,4152.0,3526.0,617.2,619.4,615.0,3249.0,3328.0
169,8405575,1,493.75,509.0,478.5,3925.0,3988.0,391.7,377.9,405.5,5700.0,5814.0
170,8405584,1,558.45,541.1,575.8,4728.0,4186.0,382.75,373.5,392.0,4430.0,4580.0
171,8405593,1,370.25,380.6,359.9,5438.0,5664.0,604.1,612.0,596.2,4386.0,4293.0
172,8405602,1,417.05,424.09999999999997,410.0,5293.0,5389.0,440.1,411.2,469.0,4601.0,4461.0
173,8405611,0,428.55,421.4,435.7,5220.0,5022.0,332.15000000000003,345.2,319.1,7379.0,7412.0
174,8405620,0,371.7,353.3,390.1,6048.0,6153.0,401.05,404.5,397.6,5881.0,5953.0
175,8434285,1,558.1,576.8,539.4,3802.0,3950.0,425.55,409.3,441.8,5206.0,4896.0
176,8434294,1,608.25,607.0,609.5,3359.0,3383.0,582.3,588.1,576.5,4805.0,4648.0
177,8434303,1,479.85,453.0,506.7,4601.0,4514.0,366.6,379.4,353.8,5638.0,5842.0
178,8434312,1,632.9,605.4,660.4,4023.0,3345.0,507.0,498.7,515.3,3753.0,3831.0
179,8434321,1,471.75,446.7,496.8,4702.0,4631.0,592.9,608.9,576.9,3607.0,3696.0
180,8434330,1,652.8000000000001,651.8,653.8,3036.0,3109.0,650.6,626.2,675.0,3641.0,3032.0
181,8434339,0,652.8000000000001,651.8,653.8,3036.0,3109.0,471.55,447.4,495.7,4698.0,4652.0
182,8455516,1,550.15,538.3,562.0,4054.0,4002.0,445.90000000000003,405.6,486.2,5215.0,5313.0
183,8455525,0,376.75,363.5,390.0,4744.0,4782.0,589.9,564.0,615.8,4640.0,4036.0
184,8455534,0,413.1,390.5,435.7,5361.0,5191.0,477.95,481.2,474.7,4310.0,4414.0
185,8455543,1,502.95,518.6,487.3,5381.0,5434.0,306.95,322.3,291.59999999999997,7205.0,7595.0
186,8455552,1,325.35,322.09999999999997,328.6,7483.0,7461.0,219.35,226.7,212.0,8012.0,8114.0
187,8455561,1,579.2,596.2,562.2,4770.0,5021.0,436.85,426.1,447.6,5246.0,5144.0
188,8455570,0,358.7,345.7,371.7,6840.0,6774.0,465.55,475.7,455.4,5586.0,5766.0
189,8455579,1,383.95,373.8,394.1,4651.0,4688.0,441.75,413.7,469.8,5320.0,5014.0
190,8455588,1,227.4,236.1,218.7,8987.0,8958.0,303.5,308.7,298.3,7285.0,7627.0
191,8455597,0,472.1,430.5,513.7,4996.0,4959.0,417.6,399.4,435.8,5494.0,5337.0
192,8455606,1,538.15,531.8,544.5,4163.0,4097.0,593.5500000000001,568.2,618.9,4386.0,3801.0
193,8455615,1,426.3,440.0,412.59999999999997,4977.0,5082.0,579.2,596.2,562.2,4770.0,5021.0
194,8455624,0,227.5,236.2,218.79999999999998,8380.0,8338.0,340.1,341.4,338.8,5407.0,5583.0
195,8455633,0,423.9,405.1,442.7,5349.0,5181.0,355.45,344.0,366.9,6854.0,6871.0
196,8455642,1,303.35,317.0,289.7,6906.0,7368.0,410.25,368.8,451.7,5817.0,5752.0
197,8455651,1,590.5500000000001,563.5,617.6,4260.0,3664.0,449.95,421.3,478.59999999999997,5253.0,4940.0
198,8455660,1,424.85,427.8,421.9,4828.0,4939.0,487.7,498.2,477.2,5475.0,5560.0
199,8455669,1,528.1,536.5,519.6999999999999,5887.0,5955.0,501.05,478.2,523.9,4850.0,4755.0
