player_id;name;team_name;Ability_score;attack_score;defend_score;attacking_rank;defending_rank
193992;Carlo Tizzano;NSW Waratahs;19.9;12.7;27.1;201.0;80.0
125058;Dan Lienert-Brown;Highlanders;19.8;15.9;23.7;172.0;107.0
162540;Fetuli Paea;Highlanders;19.799999999999997;20.7;18.9;124.0;145.0
192618;Jeremy Williams;NSW Waratahs;19.799999999999997;17.7;21.9;154.0;123.0
216078;Vaiolini Ekuasi;Blues;19.5;16.4;22.6;165.0;116.0
112890;Brad Weber;Chiefs;19.4;24.8;14.0;98.0;191.0
192528;Tane Edmed;NSW Waratahs;19.2;23.4;15.0;111.0;174.0
206724;Dallas McLeod;Crusaders;19.1;19.2;19.0;140.0;142.0
214050;Kitione Salawa;Fijian Drua;19.1;17.7;20.5;153.0;128.0
153846;Matt Faessler;Queensland Reds;19.1;16.5;21.7;164.0;124.0
69684;Beauden Barrett;Blues;19.05;28.5;9.6;79.0;254.0
134076;Dave Porecki;NSW Waratahs;18.700000000000003;13.3;24.1;195.0;104.0
102222;Michael Hooper;NSW Waratahs;18.45;13.5;23.4;194.0;110.0
210894;Joseva Tamani;Fijian Drua;18.35;19.1;17.6;141.0;155.0
197904;Tamaiti Williams;Crusaders;18.35;16.9;19.8;160.0;130.0
112836;Brodie Retallick;Chiefs;18.15;16.5;19.8;163.0;131.0
161400;Ethan Blackadder;Crusaders;18.15;15.2;21.1;181.0;127.0
222624;Ratu Rotuisolia;Fijian Drua;18.05;17.3;18.8;156.0;148.0
184704;Devan Flanders;Hurricanes;18.049999999999997;16.7;19.4;162.0;136.0
124380;Reece Hodge;Melbourne Rebels;18.0;21.4;14.6;119.0;180.0
164970;Lachie Anderson;Melbourne Rebels;17.25;19.5;15.0;136.0;176.0
192666;Angus Bell;NSW Waratahs;17.1;17.6;16.6;155.0;162.0
128748;Ryan Louwrens;Melbourne Rebels;17.0;22.3;11.7;116.0;227.0
196956;Ilaisa Droasese;Fijian Drua;16.8;23.6;10.0;107.0;248.0
206670;George Dyer;Chiefs;16.75;10.1;23.4;234.0;109.0
177114;Bradley Slater;Chiefs;16.700000000000003;14.3;19.1;188.0;141.0
141384;Jonah Lowe;Chiefs;16.5;19.7;13.3;133.0;201.0
149682;Marino Mikaele-Tu'u;Highlanders;16.45;19.3;13.6;138.0;196.0
207894;Elia Canakaivata;Fijian Drua;16.0;16.8;15.2;161.0;173.0
189162;AJ Lam;Blues;15.9;18.5;13.3;148.0;203.0
206712;Fergus Burke;Crusaders;15.65;18.8;12.5;143.0;210.0
216090;Aidan Morgan;Hurricanes;15.6;21.0;10.2;123.0;246.0
131406;Samuela Tawake;Fijian Drua;15.450000000000001;11.3;19.6;221.0;133.0
58092;James O'Connor;Queensland Reds;15.399999999999999;18.7;12.1;145.0;217.0
197874;Chay Fihaki;Crusaders;15.350000000000001;19.6;11.1;134.0;235.0
149724;Dalton Papali'i;Blues;15.299999999999999;11.7;18.9;215.0;144.0
196704;Ollie Callan;Western Force;15.299999999999999;11.7;18.9;216.0;147.0
157050;Shannon Frizell;Highlanders;15.100000000000001;15.3;14.9;180.0;177.0
216132;Dom Gardiner;Crusaders;15.1;12.3;17.9;207.0;151.0
188910;Haereiti Hetet;Fijian Drua;15.1;13.2;17.0;196.0;159.0
184014;Lawson Creighton;Queensland Reds;15.05;16.0;14.1;170.0;188.0
141324;Marcel Renata;Blues;14.75;11.6;17.9;217.0;150.0
166620;Mahe Vailanu;NSW Waratahs;14.7;14.4;15.0;187.0;175.0
173826;Pita Gus Sowakula;Chiefs;14.649999999999999;15.6;13.7;176.0;195.0
197868;Jacob Ratumaitavuki-Kneepkens;Blues;14.45;20.3;8.6;129.0;267.0
168978;Ezekiel Lindenmuth;Moana Pasifika;14.25;12.1;16.4;211.0;165.0
62526;Sam Whitelock;Crusaders;14.2;12.5;15.9;204.0;167.0
133404;Stacey Ili;Melbourne Rebels;14.149999999999999;14.1;14.2;190.0;186.0
199776;Kalani Thomas;Queensland Reds;14.100000000000001;19.6;8.6;135.0;270.0
